committee_id,committee_name,report_year,report_type,image_number,line_number,file_number,payee_name,payee_first_name,payee_middle_name,payee_last_name,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip,expenditure_description,expenditure_date,dissemination_date,expenditure_amount,office_total_ytd,category_code,category_code_full,support_oppose_indicator,memo_code,memo_code_full,candidate_id,candidate_name,candidate_prefix,candidate_first_name,candidate_middle_name,candidate_last_name,candidate_suffix,candidate_office,cand_office_state,cand_office_district,conduit_committee_id,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,election_type,election_type_full,independent_sign_name,independent_sign_date,notary_sign_name,notary_sign_date,notary_commission_expiration_date,back_reference_transaction_id,back_reference_schedule_name,filer_first_name,filer_middle_name,filer_last_name,transaction_id,original_sub_id,action_code,action_code_full,schedule_type_full,filing_form,link_id,sub_id,payee_prefix,payee_suffix,is_notice,memo_text,filer_prefix,filer_suffix,schedule_type,pdf_url
C00487470,CLUB FOR GROWTH ACTION,2016,24,201608199022539094,24,1095397,FACEBOOK,,,,1 HACKER DR.,,MENLO PARK,CA,94025,INTERNET ADS,2016-08-15 00:00:00,2016-08-15 00:00:00,354.51,20162.04,,,S,,,S0FL00338,"RUBIO, MARCO",,MARCO,,RUBIO,,S,FL,00,C00487470,,,,,,,P2016,,"ROZANSKY, ADAM",2016-08-19 00:00:00,,,,,,ADAM,,ROZANSKY,SE.9268,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4081920161313049991,4081920161313056940,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608199022539094
C00487470,CLUB FOR GROWTH ACTION,2016,24,201608159022245913,24,1093961,FACEBOOK,,,,1 HACKER DR.,,MENLO PARK,CA,94025,INTERNET ADS,2016-08-09 00:00:00,2016-08-09 00:00:00,138.42,17721.22,,,S,,,S0FL00338,"RUBIO, MARCO",,MARCO,,RUBIO,,S,FL,00,C00487470,,,,,,,P2016,,"ROZANSKY, ADAM",2016-08-15 00:00:00,,,,,,ADAM,,ROZANSKY,SE.9231,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4081520161312236781,4081520161312240525,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608159022245913
C00487470,CLUB FOR GROWTH ACTION,2016,24,201608159022245910,24,1093961,CLUB FOR GROWTH,,,,"2001 L ST., NW",SUITE 600,WASHINGTON,DC,20036,INTERNET COMMUNICATIONS (FROM ADVANCE LINE 21),2016-07-14 00:00:00,2016-07-14 00:00:00,9.77,16374.38,,,S,,,S0FL00338,"RUBIO, MARCO",,MARCO,,RUBIO,,S,FL,00,C00487470,,,,,,,P2016,,"ROZANSKY, ADAM",2016-08-15 00:00:00,,,,,,ADAM,,ROZANSKY,SE.9222,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4081520161312236781,4081520161312240511,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608159022245910
C00487470,CLUB FOR GROWTH ACTION,2016,24,201608159022245912,24,1093961,FACEBOOK,,,,1 HACKER DR.,,MENLO PARK,CA,94025,INTERNET ADS,2016-08-05 00:00:00,2016-08-05 00:00:00,195.11,16866.72,,,S,,,S0FL00338,"RUBIO, MARCO",,MARCO,,RUBIO,,S,FL,00,C00487470,,,,,,,P2016,,"ROZANSKY, ADAM",2016-08-15 00:00:00,,,,,,ADAM,,ROZANSKY,SE.9229,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4081520161312236781,4081520161312240521,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608159022245912
C00487470,CLUB FOR GROWTH ACTION,2016,24,201608239023730649,24,1096630,FACEBOOK,,,,1 HACKER DR.,,MENLO PARK,CA,94025,INTERNET ADS,2016-08-18 00:00:00,2016-08-18 00:00:00,580.23,21323.00,,,S,,,S0FL00338,"RUBIO, MARCO",,MARCO,,RUBIO,,S,FL,00,C00487470,,,,,,,P2016,,"ROZANSKY, ADAM",2016-08-23 00:00:00,,,,,,ADAM,,ROZANSKY,SE.9552,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4082320161313238710,4082320161313246067,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608239023730649
C00487470,CLUB FOR GROWTH ACTION,2016,24,201608159022245915,24,1093961,FACEBOOK,,,,1 HACKER DR.,,MENLO PARK,CA,94025,INTERNET ADS,2016-08-12 00:00:00,2016-08-12 00:00:00,239.67,18475.13,,,S,,,S0FL00338,"RUBIO, MARCO",,MARCO,,RUBIO,,S,FL,00,C00487470,,,,,,,P2016,,"ROZANSKY, ADAM",2016-08-15 00:00:00,,,,,,ADAM,,ROZANSKY,SE.9234,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4081520161312236781,4081520161312240531,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608159022245915
C00487470,CLUB FOR GROWTH ACTION,2016,48,201607159020601436,24,1086792,CLUB FOR GROWTH,,,,"2001 L ST., NW",SUITE 600,WASHINGTON,DC,20036,MAIL PRODUCTION COSTS (FROM ADVANCE LINE 21),2016-06-23 00:00:00,2016-06-23 00:00:00,844.36,1037.86,,,S,,,S0FL00338,"RUBIO, MARCO",,MARCO,,RUBIO,,S,FL,00,C00487470,,,,,,,P2016,,"ROZANSKY, ADAM",2016-07-15 00:00:00,,,,,,ADAM,,ROZANSKY,SE.8012,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4071520161306645897,4071520161306654888,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201607159020601436
C00487470,CLUB FOR GROWTH ACTION,2016,24,201608159022245911,24,1093961,CLUB FOR GROWTH,,,,"2001 L ST., NW",SUITE 600,WASHINGTON,DC,20036,INTERNET AD COSTS (FROM ADVANCE LINE 21),2016-08-13 00:00:00,2016-08-13 00:00:00,271.54,18746.67,,,S,,,S0FL00338,"RUBIO, MARCO",,MARCO,,RUBIO,,S,FL,00,C00487470,,,,,,,P2016,,"ROZANSKY, ADAM",2016-08-15 00:00:00,,,,,,ADAM,,ROZANSKY,SE.9223,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4081520161312236781,4081520161312240515,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608159022245911
C00487470,CLUB FOR GROWTH ACTION,2016,24,201608159022245912,24,1093961,FACEBOOK,,,,1 HACKER DR.,,MENLO PARK,CA,94025,INTERNET ADS,2016-08-04 00:00:00,2016-08-04 00:00:00,216.68,16671.61,,,S,,,S0FL00338,"RUBIO, MARCO",,MARCO,,RUBIO,,S,FL,00,C00487470,,,,,,,P2016,,"ROZANSKY, ADAM",2016-08-15 00:00:00,,,,,,ADAM,,ROZANSKY,SE.9228,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4081520161312236781,4081520161312240519,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608159022245912
C00487470,CLUB FOR GROWTH ACTION,2016,24,201608159022245916,24,1093961,FACEBOOK,,,,1 HACKER DR.,,MENLO PARK,CA,94025,INTERNET ADS,2016-08-14 00:00:00,2016-08-14 00:00:00,345.29,19411.28,,,S,,,S0FL00338,"RUBIO, MARCO",,MARCO,,RUBIO,,S,FL,00,C00487470,,,,,,,P2016,,"ROZANSKY, ADAM",2016-08-15 00:00:00,,,,,,ADAM,,ROZANSKY,SE.9236,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4081520161312236781,4081520161312240535,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608159022245916
